Sr. No.,Symbol,Company Name,ARs
1,RELIANCE,Reliance Industries Limited,https://www.bseindia.com/xml-data/corpfiling/AttachHis//b55b5dfc-a3bf-4f24-9d7f-ca09774a1dd9.pdf
2,TCS,Tata Consultancy Services Limited,https://www.bseindia.com/xml-data/corpfiling/AttachHis//085896fa-2e3b-4ecc-b9f1-31a31b7204b5.pdf
3,HDFCBANK,HDFC Bank Limited,https://www.bseindia.com/xml-data/corpfiling/AttachHis//0fb0e6bd-7110-44c3-a750-76933ddf105c.pdf
4,ICICIBANK,ICICI Bank Limited,https://www.bseindia.com/xml-data/corpfiling/AttachHis//f68c72c9-9c03-42e9-a5e6-413cb88728a4.pdf
5,BHARTIARTL,Bharti Airtel Limited,https://www.bseindia.com/xml-data/corpfiling/AttachHis//c47b5c5b-4b08-48c3-801f-3be3d4646981.pdf
6,SBIN,State Bank of India,https://www.bseindia.com/xml-data/corpfiling/AttachHis//22d33d1d-af2a-4d2d-98c0-eff16cd73cb5.pdf
7,INFY,Infosys Limited,https://www.bseindia.com/xml-data/corpfiling/AttachHis//3ba3c011-0411-49ba-a250-f746a5b9d940.pdf
8,LICI,Life Insurance Corporation Of India,https://www.bseindia.com/xml-data/corpfiling/AttachHis//d4bd272a-992b-436a-abd9-6551a0ef5c03.pdf
9,ITC,ITC Limited,https://www.bseindia.com/xml-data/corpfiling/AttachHis//139aec7a-7a7c-458f-ac5a-29f6dbe67c93.pdf
10,HINDUNILVR,Hindustan Unilever Limited,https://www.bseindia.com/xml-data/corpfiling/AttachHis//dbf3868a-97f3-43ed-b5ce-47e83261fdc4.pdf
11,LT,Larsen & Toubro Limited,https://www.bseindia.com/xml-data/corpfiling/AttachHis//cb93406e-57ff-4d53-b6cc-41a58cb89fd1.pdf
12,BAJFINANCE,Bajaj Finance Limited,https://www.bseindia.com/xml-data/corpfiling/AttachHis//46404117-5ed9-40e3-9891-2953ee625245.pdf
13,HCLTECH,HCL Technologies Limited,https://www.bseindia.com/xml-data/corpfiling/AttachHis//e7b8d757-92a5-423c-a450-3d4fb68e6b6e.pdf
14,MARUTI,Maruti Suzuki India Limited,
15,SUNPHARMA,Sun Pharmaceutical Industries Limited,
16,ADANIENT,Adani Enterprises Limited,
17,KOTAKBANK,Kotak Mahindra Bank Limited,
18,TITAN,Titan Company Limited,
19,ONGC,Oil & Natural Gas Corporation Limited,
20,TATAMOTORS,Tata Motors Limited,
21,NTPC,NTPC Limited,
22,AXISBANK,Axis Bank Limited,
23,DMART,Avenue Supermarts Limited,
24,ADANIGREEN,Adani Green Energy Limited,
25,ADANIPORTS,Adani Ports and Special Economic Zone Limited,
26,ULTRACEMCO,UltraTech Cement Limited,
27,ASIANPAINT,Asian Paints Limited,
28,COALINDIA,Coal India Limited,
29,BAJAJFINSV,Bajaj Finserv Limited,
30,BAJAJ-AUTO,Bajaj Auto Limited,
31,POWERGRID,Power Grid Corporation of India Limited,
32,NESTLEIND,Nestle India Limited,
33,WIPRO,Wipro Limited,
34,M&M,Mahindra & Mahindra Limited,
35,IOC,Indian Oil Corporation Limited,
36,JIOFIN,Jio Financial Services Limited,
37,HAL,Hindustan Aeronautics Limited,
38,DLF,DLF Limited,
39,ADANIPOWER,Adani Power Limited,
40,JSWSTEEL,JSW Steel Limited,
41,TATASTEEL,Tata Steel Limited,
42,SIEMENS,Siemens Limited,
43,IRFC,Indian Railway Finance Corporation Limited,
44,VBL,Varun Beverages Limited,
45,ZOMATO,Zomato Limited,
46,PIDILITIND,Pidilite Industries Limited,
47,GRASIM,Grasim Industries Limited,
48,SBILIFE,SBI Life Insurance Company Limited,
49,BEL,Bharat Electronics Limited,
50,LTIM,LTIMindtree Limited,
51,TRENT,Trent Limited,
52,PNB,Punjab National Bank,
53,INDIGO,InterGlobe Aviation Limited,
54,BANKBARODA,Bank of Baroda,
55,HDFCLIFE,HDFC Life Insurance Company Limited,
56,ABB,ABB India Limited,
57,BPCL,Bharat Petroleum Corporation Limited,
58,PFC,Power Finance Corporation Limited,
59,GODREJCP,Godrej Consumer Products Limited,
60,TATAPOWER,Tata Power Company Limited,
61,HINDALCO,Hindalco Industries Limited,
62,HINDZINC,Hindustan Zinc Limited,
63,TECHM,Tech Mahindra Limited,
64,AMBUJACEM,Ambuja Cements Limited,
65,INDUSINDBK,IndusInd Bank Limited,
66,CIPLA,Cipla Limited,
67,GAIL,GAIL (India) Limited,
68,RECLTD,REC Limited,
69,BRITANNIA,Britannia Industries Limited,
70,UNIONBANK,Union Bank of India,
71,ADANIENSOL,Adani Energy Solutions Limited,
72,IOB,Indian Overseas Bank,
73,LODHA,Macrotech Developers Limited,
74,EICHERMOT,Eicher Motors Limited,
75,CANBK,Canara Bank,
76,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,
77,DRREDDY,Dr. Reddy's Laboratories Limited,
78,TVSMOTOR,TVS Motor Company Limited,
79,ZYDUSLIFE,Zydus Lifesciences Limited,
80,ATGL,Adani Total Gas Limited,
81,VEDL,Vedanta Limited,
82,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,
83,HAVELLS,Havells India Limited,
84,HEROMOTOCO,Hero MotoCorp Limited,
85,DABUR,Dabur India Limited,
86,SHREECEM,SHREE CEMENT LIMITED,
87,MANKIND,Mankind Pharma Limited,
88,BAJAJHLDNG,Bajaj Holdings & Investment Limited,
89,DIVISLAB,Divi's Laboratories Limited,
90,APOLLOHOSP,Apollo Hospitals Enterprise Limited,
91,NHPC,NHPC Limited,
92,SHRIRAMFIN,Shriram Finance Limited,
93,BOSCHLTD,Bosch Limited,
94,TORNTPHARM,Torrent Pharmaceuticals Limited,
95,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,
96,IDBI,IDBI Bank Limited,
97,JSWENERGY,JSW Energy Limited,
98,JINDALSTEL,Jindal Steel & Power Limited,
99,BHEL,Bharat Heavy Electricals Limited,
100,INDHOTEL,The Indian Hotels Company Limited,
101,CUMMINSIND,Cummins India Limited,
102,ICICIGI,ICICI Lombard General Insurance Company Limited,
103,CGPOWER,CG Power and Industrial Solutions Limited,
104,MCDOWELL-N,United Spirits Limited,
105,HDFCAMC,HDFC Asset Management Company Limited,
106,MAXHEALTH,Max Healthcare Institute Limited,
107,SOLARINDS,Solar Industries India Limited,
108,MOTHERSON,Samvardhana Motherson International Limited,
109,INDUSTOWER,Indus Towers Limited,
110,POLYCAB,Polycab India Limited,
111,OFSS,Oracle Financial Services Software Limited,
112,SRF,SRF Limited,
113,IRCTC,Indian Railway Catering And Tourism Corporation Limited,
114,COLPAL,Colgate Palmolive (India) Limited,
115,LUPIN,Lupin Limited,
116,NAUKRI,Info Edge (India) Limited,
117,TIINDIA,Tube Investments of India Limited,
118,INDIANB,Indian Bank,
119,HINDPETRO,Hindustan Petroleum Corporation Limited,
120,BERGEPAINT,Berger Paints (I) Limited,
121,YESBANK,Yes Bank Limited,
122,TORNTPOWER,Torrent Power Limited,
123,OIL,Oil India Limited,
124,SBICARD,SBI Cards and Payment Services Limited,
125,IDEA,Vodafone Idea Limited,
126,MARICO,Marico Limited,
127,GODREJPROP,Godrej Properties Limited,
128,AUROPHARMA,Aurobindo Pharma Limited,
129,UCOBANK,UCO Bank,
130,BANKINDIA,Bank of India,
131,PERSISTENT,Persistent Systems Limited,
132,MUTHOOTFIN,Muthoot Finance Limited,
133,NMDC,NMDC Limited,
134,ALKEM,Alkem Laboratories Limited,
135,PIIND,PI Industries Limited,
136,LTTS,L&T Technology Services Limited,
137,GICRE,General Insurance Corporation of India,
138,TATACOMM,Tata Communications Limited,
139,JSL,Jindal Stainless Limited,
140,MRF,MRF Limited,
141,SAIL,Steel Authority of India Limited,
142,PGHH,Procter & Gamble Hygiene and Health Care Limited,
143,SUZLON,Suzlon Energy Limited,
144,LINDEINDIA,Linde India Limited,
145,SUPREMEIND,Supreme Industries Limited,
146,CONCOR,Container Corporation of India Limited,
147,OBEROIRLTY,Oberoi Realty Limited,
148,ASTRAL,Astral Limited,
149,IDFCFIRSTB,IDFC First Bank Limited,
150,RVNL,Rail Vikas Nigam Limited,
151,BHARATFORG,Bharat Forge Limited,
152,CENTRALBK,Central Bank of India,
153,JSWINFRA,JSW Infrastructure Limited,
154,POLICYBZR,PB Fintech Limited,
155,ASHOKLEY,Ashok Leyland Limited,
156,THERMAX,Thermax Limited,
157,PHOENIXLTD,The Phoenix Mills Limited,
158,GMRINFRA,GMR Airports Infrastructure Limited,
159,TATAELXSI,Tata Elxsi Limited,
160,PATANJALI,Patanjali Foods Limited,
161,SJVN,SJVN Limited,
162,PRESTIGE,Prestige Estates Projects Limited,
163,ACC,ACC Limited,
164,NYKAA,FSN E-Commerce Ventures Limited,
165,SUNDARMFIN,Sundaram Finance Limited,
166,UBL,United Breweries Limited,
167,ABCAPITAL,Aditya Birla Capital Limited,
168,MPHASIS,MphasiS Limited,
169,BALKRISIND,Balkrishna Industries Limited,
170,DIXON,Dixon Technologies (India) Limited,
171,MAHABANK,Bank of Maharashtra,
172,KALYANKJIL,Kalyan Jewellers India Limited,
173,SCHAEFFLER,Schaeffler India Limited,
174,AWL,Adani Wilmar Limited,
175,APLAPOLLO,APL Apollo Tubes Limited,
176,TATATECH,Tata Technologies Limited,
177,SONACOMS,Sona BLW Precision Forgings Limited,
178,KPITTECH,KPIT Technologies Limited,
179,FACT,Fertilizers and Chemicals Travancore Limited,
180,PSB,Punjab & Sind Bank,
181,PETRONET,Petronet LNG Limited,
182,L&TFH,L&T Finance Holdings Limited,
183,UNOMINDA,UNO Minda Limited,
184,PAGEIND,Page Industries Limited,
185,MRPL,Mangalore Refinery and Petrochemicals Limited,
186,AUBANK,AU Small Finance Bank Limited,
187,MAZDOCK,Mazagon Dock Shipbuilders Limited,
188,HUDCO,Housing & Urban Development Corporation Limited,
189,GUJGASLTD,Gujarat Gas Limited,
190,NIACL,The New India Assurance Company Limited,
191,CRISIL,CRISIL Limited,
192,AIAENG,AIA Engineering Limited,
193,FEDERALBNK,The Federal Bank  Limited,
194,IREDA,Indian Renewable Energy Development Agency Limited,
195,VOLTAS,Voltas Limited,
196,DALBHARAT,Dalmia Bharat Limited,
197,POONAWALLA,Poonawalla Fincorp Limited,
198,MEDANTA,Global Health Limited,
199,IRB,IRB Infrastructure Developers Limited,
200,3MINDIA,3M India Limited,
201,MFSL,Max Financial Services Limited,
202,M&MFIN,Mahindra & Mahindra Financial Services Limited,
203,UPL,UPL Limited,
204,HONAUT,Honeywell Automation India Limited,
205,BSE,BSE Limited,
206,FLUOROCHEM,Gujarat Fluorochemicals Limited,
207,COFORGE,Coforge Limited,
208,LICHSGFIN,LIC Housing Finance Limited,
209,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,
210,DELHIVERY,Delhivery Limited,
211,BDL,Bharat Dynamics Limited,
212,STARHEALTH,Star Health and Allied Insurance Company Limited,
213,FORTIS,Fortis Healthcare Limited,
214,BIOCON,Biocon Limited,
215,COROMANDEL,Coromandel International Limited,
216,NLCINDIA,NLC India Limited,
217,TATAINVEST,Tata Investment Corporation Limited,
218,JKCEMENT,JK Cement Limited,
219,IPCALAB,IPCA Laboratories Limited,
220,METROBRAND,Metro Brands Limited,
221,KEI,KEI Industries Limited,
222,ESCORTS,Escorts Kubota Limited,
223,LLOYDSME,Lloyds Metals And Energy Limited,
224,GLAND,Gland Pharma Limited,
225,IGL,Indraprastha Gas Limited,
226,NAM-INDIA,Nippon Life India Asset Management Limited,
227,APOLLOTYRE,Apollo Tyres Limited,
228,JUBLFOOD,Jubilant Foodworks Limited,
